Kenmore,-71.09710057313356,42.34888472265088,0
Hynes Convention Center,-71.08811315397708,42.34799113180503,0
Copley,-71.07738069359908,42.3500700400933,0
Arlington,-71.07077393704597,42.35202125051671,0
Boylston,-71.06453464759257,42.35267731361829,0
Park Street,-71.06218103280605,42.35633768951247,0
Government Center,-71.05940872624709,42.35917222222222,0
Haymarket,-71.05884886859914,42.36330491753631,0
North Station,-71.06151016048165,42.36544814705966,0
Science Park,-71.0676936069501,42.36668240112375,0
Lechmere,-71.07711131015182,42.37161070794293,0
